sources,tag,solver
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,Raven
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,Raven
0xB576491F1E6e5E62f1d8F26062Ee822B40B0E0d4,Curve.fi CVX/ETH,Raven
0x6e314039f4C56000F4ebb3a7854A84cC6225Fb92,Curve.fi ETH/BTRFLY,Raven
0x838af967537350D2C44ABB8c010E49E32673ab94,Curve.fi Factory Pool CNC/ETH,Raven
0x0E9B5B092caD6F1c5E6bc7f89Ffe1abb5c95F1C2,Curve.fi Factory Pool GEAR/ETH,Raven
0x75A6787C7EE60424358B449B539A8b774c9B4862,Curve.fi Factory Pool PAL/ETH,Raven
0x0f3159811670c117c372428D4E69AC32325e4D0F,Curve.fi Factory Pool rETH/ETH,Raven
0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2,Curve.fi Frax/USDC,Raven
0x752eBeb79963cf0732E9c0fec72a49FD1DEfAEAC,Curve.fi T-ETH Pool,Raven
0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,Curve.fi: DAI/USDC/USDT Pool,Raven
0xD51a44d3FaE010294C616388b506AcdA1bfAAE46,Curve.fi: USDT/WBTC/WETH Pool,Raven
0xA5407eAE9Ba41422680e2e00537571bcC53efBfD,Curve.fi: sUSD v2 Swap,Raven
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,Maverick Router,Raven
0x1b81D678ffb9C0263b24A97847620C99d213eB14,PancakeSwap: SwapRouter V3,Raven
0xaFED85453681dc387EE0E87b542614722EE2CfeD,Solidly V3 ETH/USDC,Raven
0x3198EAdB777b9b6C789bfc89491774644E95eD7e,Solidly V3 ETH/USDT,Raven
0x9f5f971286b5701B5cDec94F34ABbfDf92e619B7,Solidly V3 WETH/WBTC,Raven
0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,Uniswap Universal Router,Raven
0xE592427A0AEce92De3Edee1F18E0157C05861564,UniswapV3 Router,Raven
0xcBD576B6703eFc6444208b992Ec6319bbDfd7D67,unverified contract,Raven
0x1111111254fb6c44bAC0beD2854e76F90643097d,1inch V4,SeaSolver
0x1111111254EEB25477B68fb85Ed929f73A960582,1inch V5,SeaSolver
0xBA12222222228d8Ba445958a75a0704d566BF2C8,Balancer,SeaSolver
0x40A50cf069e992AA4536211B23F286eF88752187,Cow Protocol CoWSwapEthFlow,SeaSolver
0x01DcB88678aedD0C4cC9552B20F4718550250574,Cow Protocol HooksTrampoline,SeaSolver
0xB576491F1E6e5E62f1d8F26062Ee822B40B0E0d4,Curve.fi CVX/ETH,SeaSolver
0x6e314039f4C56000F4ebb3a7854A84cC6225Fb92,Curve.fi ETH/BTRFLY,SeaSolver
0x838af967537350D2C44ABB8c010E49E32673ab94,Curve.fi Factory Pool CNC/ETH,SeaSolver
0x5De4EF4879F4fe3bBADF2227D2aC5d0E2D76C895,Curve.fi Factory Pool COIL/FraxBP,SeaSolver
0xf861483fa7E511fbc37487D91B6FAa803aF5d37c,Curve.fi Factory Pool FPI2Pool (FRAX),SeaSolver
0xC15F285679a1Ef2d25F53D4CbD0265E1D02F2A92,Curve.fi Factory Pool FXN/ETH,SeaSolver
0x0E9B5B092caD6F1c5E6bc7f89Ffe1abb5c95F1C2,Curve.fi Factory Pool GEAR/ETH,SeaSolver
0xc89570207c5BA1B0E3cD372172cCaEFB173DB270,Curve.fi Factory Pool Prisma mkUSD/ETH,SeaSolver
0x50AC42817A6De2997fA012C444896ab78A7e8DEa,Curve.fi Factory Pool fFRAX/crvUSD,SeaSolver
0xDcEF968d416a41Cdac0ED8702fAC8128A64241A2,Curve.fi Frax/USDC,SeaSolver
0x752eBeb79963cf0732E9c0fec72a49FD1DEfAEAC,Curve.fi T-ETH Pool,SeaSolver
0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,Curve.fi: DAI/USDC/USDT Pool,SeaSolver
0xD51a44d3FaE010294C616388b506AcdA1bfAAE46,Curve.fi: USDT/WBTC/WETH Pool,SeaSolver
0x071c661B4DeefB59E2a3DdB20Db036821eeE8F4b,Curve.fi: bBTC Metapool,SeaSolver
0xb634316E06cC0B358437CbadD4dC94F1D3a92B3b,Yearn ytrades y dinos,SeaSolver
0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0x,plm
